Company,Company Score,Job Title,Location,Date,Salary
23,0.8421052631578947,461,237,30d+,126
258,0.736842105263158,282,160,20d,604
305,1.0,447,177,27d,5
558,0.6315789473684208,371,177,5d,217
209,0.3157894736842106,294,18,30d+,46
240,0.5789473684210527,186,44,4d,625
457,0.5263157894736841,294,74,23d,434
131,0.5789473684210527,414,293,4d,16
32,0.5789473684210527,487,68,1d,333
578,0.5263157894736841,345,8,30d+,113
109,0.42105263157894757,318,8,3d,174
608,0.6842105263157894,52,269,11d,491
230,0.4736842105263157,25,85,26d,504
452,0.3157894736842106,355,106,30d+,626
253,0.368421052631579,224,213,30d,397
391,0.3157894736842106,104,8,12d,314
206,0.052631578947368585,294,254,12d,50
195,0.6315789473684208,473,280,30d+,372
245,0.6315789473684208,481,204,18d,330
292,0.4736842105263157,491,35,30d+,460
96,0.6315789473684208,286,106,6d,349
17,0.5263157894736841,294,16,19d,197
420,0.26315789473684204,215,63,4d,157
206,0.3157894736842106,371,283,30d+,242
472,0.6842105263157894,249,63,6d,283
524,0.5263157894736841,384,204,30d+,166
445,0.42105263157894757,135,243,2d,365
259,0.6842105263157894,285,293,16d,313
247,0.1578947368421053,494,293,2d,463
371,0.5263157894736841,149,243,30d+,51
426,0.6315789473684208,275,128,10d,172
464,0.5263157894736841,294,243,10d,212
572,0.42105263157894757,394,192,12d,520
258,0.368421052631579,112,253,30d+,46
384,0.26315789473684204,406,16,4d,423
357,0.7894736842105265,161,308,30d+,214
45,0.8421052631578947,499,259,30d+,14
359,0.5789473684210527,27,5,10d,486
184,0.26315789473684204,36,228,6d,629
69,0.42105263157894757,215,145,11d,156
28,0.42105263157894757,368,130,30d+,225
542,0.5789473684210527,201,23,30d+,581
234,0.4736842105263157,352,253,1d,597
509,0.6315789473684208,294,8,30d+,111
158,0.736842105263158,359,254,21d,268
292,0.7894736842105265,40,226,6d,523
292,0.368421052631579,194,61,4d,232
595,0.368421052631579,401,307,25d,264
230,0.10526315789473695,129,228,9d,375
382,0.6842105263157894,240,16,19d,509
589,0.052631578947368585,199,55,4d,448
504,0.3157894736842106,294,8,30d+,128
147,0.10526315789473695,215,35,30d+,79
577,0.8421052631578947,294,8,30d+,118
321,0.42105263157894757,341,265,17d,122
375,0.42105263157894757,215,139,30d+,505
182,0.9473684210526319,144,8,30d+,318
12,0.5789473684210527,465,212,30d+,89
535,0.5789473684210527,480,8,4d,544
504,0.6315789473684208,50,98,30d+,452
326,0.368421052631579,182,176,11d,265
536,0.7894736842105265,361,68,30d+,341
498,0.6842105263157894,294,123,2d,200
67,0.5789473684210527,294,67,16d,514
